nwb_id,path,size_mb,identifier
689319138,sub-689168779/sub-689168779_ses-689319138_icephys.nwb,49.5,f5f648f8-eb10-4dc8-97f9-de8fa94202f3
689331378,sub-689168779/sub-689168779_ses-689331378_icephys.nwb,48.7,2a2a4674-4e78-4afa-b092-950cabcbd920
695505871,sub-695464588/sub-695464588_ses-695505871_icephys.nwb,45.8,d6f7097c-2c3b-46c0-91da-c0d8c636fc00
695574251,sub-695464588/sub-695464588_ses-695574251_icephys.nwb,46.8,23ac9d24-2ca4-4fcc-a44f-b95431486cfe
695574450,sub-695464588/sub-695464588_ses-695574450_icephys.nwb,45.2,ff6c48b5-55a8-4c0d-8bf4-5877f175a9b7
695576011,sub-695464588/sub-695464588_ses-695576011_icephys.nwb,47.9,cdf6aa3a-5922-468d-87bc-a78494f9748e
695576826,sub-695464588/sub-695464588_ses-695576826_icephys.nwb,47.6,7150755e-eead-4066-af6e-a30c58377cf7
696101784,sub-695464588/sub-695464588_ses-696101784_icephys.nwb,18.6,a35b7be4-2e6f-46ec-bb6a-d06fefac2f1a
696102803,sub-695464588/sub-695464588_ses-696102803_icephys.nwb,45.2,bfbe3d12-720f-4a3c-952a-0d0e49975ea8
696108448,sub-695464588/sub-695464588_ses-696108448_icephys.nwb,47.0,6b3843bf-0b9c-4c19-95c8-eb36eae1110e
699822042,sub-699761589/sub-699761589_ses-699822042_icephys.nwb,45.5,e89e7523-c3b0-46f3-9622-58dfab540f36
700801427,sub-700619648/sub-700619648_ses-700801427_icephys.nwb,47.7,ac34714c-876f-4c9a-9e5f-fc85c4e86020
700809823,sub-700619648/sub-700619648_ses-700809823_icephys.nwb,46.5,0b02fee5-b2b3-4aa2-ad7c-06f9b33689f1
700810019,sub-700619648/sub-700619648_ses-700810019_icephys.nwb,46.4,63578800-9679-4b7f-a862-17295e3dca01
700822010,sub-700619648/sub-700619648_ses-700822010_icephys.nwb,45.6,4f8dd27a-a64f-491d-bef8-dcd3fd66362e
700858340,sub-700619648/sub-700619648_ses-700858340_icephys.nwb,46.4,c3ca6b8b-db16-4a04-9079-794f20044386
700917273,sub-700619648/sub-700619648_ses-700917273_icephys.nwb,46.7,66e38bd8-a743-494d-9933-494e62e882a8
700937096,sub-700619648/sub-700619648_ses-700937096_icephys.nwb,46.6,038a0082-8d76-4ae2-8500-69b54d5ab165
701072050,sub-700619648/sub-700619648_ses-701072050_icephys.nwb,15.6,e1abefd7-c3f5-40a1-938b-521faf535491
707795272,sub-707724503/sub-707724503_ses-707795272_icephys.nwb,16.1,d6fd4eb5-c71c-4ab4-8446-2e1a82ffd1a8
707801925,sub-707724503/sub-707724503_ses-707801925_icephys.nwb,49.3,c1de559a-61c2-4517-b78c-9d7217c3f72c
707837682,sub-707724503/sub-707724503_ses-707837682_icephys.nwb,46.6,35bc7cca-b5e8-4f53-b225-5dbb3d9cbce9
712866792,sub-712700908/sub-712700908_ses-712866792_icephys.nwb,17.0,021fec32-4a8a-499b-b958-a72166f9bd26
712906079,sub-712700908/sub-712700908_ses-712906079_icephys.nwb,15.4,55596bb9-ad2f-449e-8440-24e20bf9c6c8
712915603,sub-712700908/sub-712700908_ses-712915603_icephys.nwb,16.2,8696bd40-ee13-4ba4-915b-e91e4a1330f1
717044861,sub-716866594/sub-716866594_ses-717044861_icephys.nwb,13.9,8459e9a6-48f7-4c04-ab99-0d08dfed13d4
720835554,sub-720619787/sub-720619787_ses-720835554_icephys.nwb,47.5,ab4b5b88-cc46-47ce-b83e-fbf3d4462dc9
720840334,sub-720619787/sub-720619787_ses-720840334_icephys.nwb,12.8,c33d2f2b-0e10-4aac-8f61-40bfb3f1dc10
720840441,sub-720619787/sub-720619787_ses-720840441_icephys.nwb,46.2,c3c53dcb-4149-4467-8271-01bc919dbeb4
720841777,sub-720619787/sub-720619787_ses-720841777_icephys.nwb,48.3,5955ff49-247d-44ef-8864-1328f16c89ad
720868659,sub-720619787/sub-720619787_ses-720868659_icephys.nwb,16.6,1b161316-0ba7-45f5-95ae-713616654388
720870938,sub-720619787/sub-720619787_ses-720870938_icephys.nwb,47.6,f7d65171-64d9-40b7-a702-04627787e9fc
720880989,sub-720619787/sub-720619787_ses-720880989_icephys.nwb,46.3,483a52ed-e405-4cf4-830a-279c4bf268fd
720885747,sub-720619787/sub-720619787_ses-720885747_icephys.nwb,20.3,0547e6d5-fe30-433a-951d-8adb4a2647e6
720886417,sub-720619787/sub-720619787_ses-720886417_icephys.nwb,46.1,1b8916b7-c395-4b76-92f7-84ccde4f4177
721231135,sub-720619787/sub-720619787_ses-721231135_icephys.nwb,12.3,3a076914-216a-4339-8bf4-7579f772aa25
721284681,sub-720619787/sub-720619787_ses-721284681_icephys.nwb,12.7,c40d0858-94b7-454d-80bc-9d7836c6c294
