,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-GE5TI_S153_E1-50,L2/3 IT,0.9986763596534728,L2/3 IT_10,0.911423921585083
SM-GE5TI_S154_E1-50,Sst,0.9999990463256836,Sst_4,0.9310349225997924
SM-GE5TI_S155_E1-50,L2/3 IT,0.947309136390686,L2/3 IT_5,0.6076454520225525
SM-GE5TI_S156_E1-50,L4 IT,0.9999994039535522,L4 IT_2,0.9999946355819702
SM-GE5TI_S169_E1-50,L4 IT,0.999881625175476,L4 IT_2,0.9999954700469972
SM-GE5TI_S170_E1-50,Pvalb,0.9187897443771362,Pvalb_15,0.3135638833045959
SM-GE5TI_S171_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-IUTI5_S402_E1-50,Sst,1.0,Sst_3,0.9891933798789978
SM-IUTI5_S403_E1-50,Pvalb,0.9985218644142152,Pvalb_14,0.970907986164093
SM-IUTI5_S404_E1-50,Pvalb,0.9791204929351808,Pvalb_15,0.9590902328491212
SM-IUTI5_S405_E1-50,L2/3 IT,1.0,L2/3 IT_5,0.4021739065647125
SM-J2NTQ_S481_E1-50,L4 IT,0.9975069165229796,L4 IT_1,0.9793866276741028
SM-J2NTQ_S482_E1-50,Lamp5,0.9999364614486694,Lamp5_2,0.9999024868011476
SM-J2NTQ_S483_E1-50,Lamp5,0.9979591369628906,Lamp5_6,0.529693067073822
SM-J2NTQ_S484_E1-50,L2/3 IT,0.9999481439590454,L2/3 IT_5,0.8675714135169983
SM-J2NTQ_S485_E1-50,Lamp5,0.9816632270812988,Lamp5_2,0.9116981029510498
SM-J2NTQ_S486_E1-50,L2/3 IT,0.9999704360961914,L2/3 IT_1,0.999992847442627
SM-J2NTQ_S487_E1-50,L2/3 IT,1.0,L2/3 IT_6,0.9839640259742736
SM-J2NTQ_S488_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999812841415404
SM-GE8X7_S118_E1-50,Vip,1.0,Vip_6,0.8271304965019226
SM-GE8X7_S119_E1-50,Lamp5,0.7566707730293274,Lamp5_2,0.8958334922790527
SM-GE8X7_S120_E1-50,L4 IT,0.9999996423721312,L4 IT_2,0.9999982118606568
SM-GE8X7_S121_E1-50,Sncg,0.7838323712348938,Sncg_4,0.3305494487285614
SM-GE8X7_S122_E1-50,Vip,0.9999701976776124,Vip_12,0.7430487275123596
SM-GE8X7_S123_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.999981164932251
SM-GE4QZ_S103_E1-50,Sncg,0.9999991655349731,Sncg_8,0.999894380569458
SM-GE4QZ_S104_E1-50,Pvalb,0.6260359883308411,Pvalb_15,0.9963468909263612
SM-GE4QZ_S105_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-GE4QZ_S106_E1-50,L5 IT,1.0,L5 IT_3,0.9999998807907104
SM-GE4QZ_S107_E1-50,L4 IT,1.0,L4 IT_2,0.9996542930603028
SM-GE4QZ_S108_E1-50,L4 IT,0.9998971223831176,L4 IT_1,0.8847766518592834
SM-GE4QZ_S109_E1-50,L4 IT,0.9999992847442628,L4 IT_2,0.9992356300354004
SM-GE4QZ_S110_E1-50,L5 IT,1.0,L5 IT_2,1.0
SM-GE4QZ_S111_E1-50,Sncg,0.999889612197876,Sncg_4,0.9835206866264344
SM-GE4QZ_S112_E1-50,L4 IT,1.0,L4 IT_2,0.9999988079071044
SM-GE4QZ_S113_E1-50,L5 IT,0.9981690645217896,L5 IT_2,1.0
AB-S40302_S216_E1-50,Sncg,0.999071478843689,Sncg_8,0.5655529499053955
AB-S40302_S217_E1-50,L2/3 IT,1.0,L2/3 IT_10,0.999920129776001
AB-S40302_S218_E1-50,Pvalb,1.0,Pvalb_2,0.9999815225601196
SM-GE8ZX_S112_E1-50,Lamp5_Lhx6,0.9999996423721312,Lamp5_Lhx6_1,1.0
SM-GE8ZX_S113_E1-50,Sncg,0.9835283756256104,Sncg_4,0.4834206998348236
SM-GE8ZX_S114_E1-50,Lamp5,0.9999938011169434,Lamp5_5,0.6713660359382629
