ses_id,path,size_mb,identifier
653894438,sub-653718968/sub-653718968_ses-653894438_icephys.nwb,54.4,c2b780d9-511c-460d-874e-3d61fd29f6a2
653907127,sub-653718968/sub-653718968_ses-653907127_icephys.nwb,19.7,f2268abe-fb55-4b13-9c45-8f52d635394c
654340992,sub-653718968/sub-653718968_ses-654340992_icephys.nwb,41.8,b8f27a1d-40e0-4891-8f15-9d84c38efa84
656921363,sub-656856430/sub-656856430_ses-656921363_icephys.nwb,53.9,16826259-443c-4a8e-9fd5-60049c7df207
660491006,sub-660473566/sub-660473566_ses-660491006_icephys.nwb,29.5,48b78ecb-3e5c-4b42-8707-a4524e206c45
665695908,sub-665691251/sub-665691251_ses-665695908_icephys.nwb,54.2,1d4951d3-e1d1-473e-8402-b1488a6d953b
665703339,sub-665691251/sub-665691251_ses-665703339_icephys.nwb,58.1,8a0af9e0-e549-4f10-be37-72a63dae9acd
672186579,sub-672118436/sub-672118436_ses-672186579_icephys.nwb,32.8,02994f48-a202-4288-ba8d-bbff41ed5867
672646198,sub-672637567/sub-672637567_ses-672646198_icephys.nwb,58.5,ace9396e-5647-46ce-9333-a7eb955e1d52
672646303,sub-672637567/sub-672637567_ses-672646303_icephys.nwb,55.4,dd07851d-2dd5-4dcf-9c5b-df93a6f5bf2c
672659194,sub-672637567/sub-672637567_ses-672659194_icephys.nwb,53.1,17f40115-56fb-4f50-90c7-0ed09909358f
672665026,sub-672637567/sub-672637567_ses-672665026_icephys.nwb,56.1,94f094c7-3556-4f40-9eea-5673e4401e77
674605669,sub-674562997/sub-674562997_ses-674605669_icephys.nwb,55.7,d609642a-04e8-4791-8274-ab1a84372b29
674620943,sub-674562997/sub-674562997_ses-674620943_icephys.nwb,56.8,2d28a5c5-0b70-4c12-ae3c-67e50e227bb0
674636843,sub-674562997/sub-674562997_ses-674636843_icephys.nwb,28.7,c45dc493-c298-4e9c-ae4d-210192cc70d3
677063273,sub-676839274/sub-676839274_ses-677063273_icephys.nwb,28.1,1c443fec-afbf-46fb-93ab-79c125fdd216
685771012,sub-685740095/sub-685740095_ses-685771012_icephys.nwb,53.5,9c3e9f73-311a-45b4-b1a1-c54c37c229b9
685814154,sub-685740095/sub-685740095_ses-685814154_icephys.nwb,14.3,60b878e9-e6e0-42f3-9a42-014486ab6c0d
689300349,sub-689168779/sub-689168779_ses-689300349_icephys.nwb,57.0,ebd9047f-d4fc-470f-b0be-be926507f268
689323115,sub-689168779/sub-689168779_ses-689323115_icephys.nwb,54.4,85e3552d-6ea3-4ddf-9eab-ffccdebffcd8
689356632,sub-689168779/sub-689168779_ses-689356632_icephys.nwb,51.3,a29a2942-ec0d-4a99-8f3c-3b7dd7f84eff
695494584,sub-695464588/sub-695464588_ses-695494584_icephys.nwb,15.6,d37e3dd0-87e0-4661-9f89-820240df42b5
695521408,sub-695464588/sub-695464588_ses-695521408_icephys.nwb,46.6,a9f05923-0023-47fb-88ec-bf6102da915b
695565304,sub-695464588/sub-695464588_ses-695565304_icephys.nwb,46.5,c315264a-4d7e-4c1b-8dc2-17a2dbc50e93
700782000,sub-700619648/sub-700619648_ses-700782000_icephys.nwb,46.0,3a11e558-5cbc-4ff4-8a60-67f4761db06a
700843135,sub-700619648/sub-700619648_ses-700843135_icephys.nwb,46.4,a570d685-87b9-4433-96ad-ffaa3d07e5f2
701071858,sub-700619648/sub-700619648_ses-701071858_icephys.nwb,15.2,0f28edea-b0b3-46de-bef6-bd061b6b564f
712885392,sub-712700908/sub-712700908_ses-712885392_icephys.nwb,46.1,604c5408-200e-400a-81e9-1f663451eab5
721688570,sub-720619787/sub-720619787_ses-721688570_icephys.nwb,19.0,35f3bcc0-8a23-4c6b-9225-30aede27db4f
732127133,sub-731978186/sub-731978186_ses-732127133_icephys.nwb,46.7,cc1c2860-10cb-4936-8231-061f6398c8af
732141062,sub-731978186/sub-731978186_ses-732141062_icephys.nwb,46.7,2af5ff05-8913-4112-9702-3916a9068676
732178620,sub-731978186/sub-731978186_ses-732178620_icephys.nwb,46.3,0c1b5b14-a611-4eca-8666-e0a3232c5ff6
732784657,sub-731978186/sub-731978186_ses-732784657_icephys.nwb,47.7,0ed5d9be-1e02-4a64-bf38-50ea94bddf24
737989324,sub-737373545/sub-737373545_ses-737989324_icephys.nwb,22.0,543e4c81-c652-4585-a096-30dc0c93795a
766791344,sub-766758349/sub-766758349_ses-766791344_icephys.nwb,21.1,27890a5c-d84c-4e03-b656-8b8c889af003
