path,asset_id,size_mb
sub-H20-28-022/sub-H20-28-022_obj-wgln24_icephys.nwb,c294ac8a-3d09-4b7a-9fd0-a09a72770bdc,49.27
sub-H20-28-022/sub-H20-28-022_obj-n508z5_icephys.nwb,1868401b-ea68-4430-a35f-01443fe6ed2e,56.22
sub-H20-28-006/sub-H20-28-006_obj-phy1fd_icephys.nwb,081a416d-120e-4413-9962-3a5d88e40e40,59.42
sub-H20-28-006/sub-H20-28-006_obj-1l25o4r_icephys.nwb,1e79af59-d932-47d7-a7f2-9523a976aba3,46.25
sub-H20-28-006/sub-H20-28-006_obj-f1jsq6_icephys.nwb,25cc200f-9868-41bf-8f87-59ea7dfe6206,51.07
sub-H20-28-006/sub-H20-28-006_obj-1pljmik_icephys.nwb,20991fd9-fa4d-4bf2-ab8b-a02ad0fb8c95,62.68
sub-H20-28-006/sub-H20-28-006_obj-mpb7lx_icephys.nwb,8cdd003d-bc03-4619-ad66-7a30414d637a,56.75
sub-H20-28-006/sub-H20-28-006_obj-t8xnys_icephys.nwb,63bf6a34-b2b9-4665-81c7-4e3e0e5f90ed,54.39
sub-H20-28-006/sub-H20-28-006_obj-zecvo9_icephys.nwb,c356e65c-f471-42a8-b4e5-85df69b24e4b,73.78
sub-H18-28-025/sub-H18-28-025_obj-4ubkfz_icephys.nwb,ee57bf82-9199-4dcd-815d-8ed2a5b0ebe6,56.45
sub-H18-28-025/sub-H18-28-025_obj-ny4ziz_icephys.nwb,da948b02-0b37-4455-a1b9-93064c1fa7fd,65.83
sub-H18-28-025/sub-H18-28-025_obj-jr1eyz_icephys.nwb,886a2845-e3f6-462f-a6c9-399cee8136e1,50.51
sub-H19-28-015/sub-H19-28-015_obj-vw9ofl_icephys.nwb,a951f2a9-076f-44ad-a5a8-34eca0104b9d,81.61
sub-H19-28-015/sub-H19-28-015_obj-zxmk0p_icephys.nwb,81f0ccad-f1e2-4387-87b2-884914f675ef,90.55
sub-H19-28-015/sub-H19-28-015_obj-1fmmdzl_icephys.nwb,da2091b1-63ad-412a-bb2f-4a0dcbc863a2,95.5
sub-H18-28-025/sub-H18-28-025_obj-r0wovk_icephys.nwb,054e02ad-ff13-4b38-b1f8-8a73cbaefe59,155.15
sub-H19-28-015/sub-H19-28-015_obj-z2ba0c_icephys.nwb,c7297690-96dc-4351-8e3f-253352e19fd0,98.85
sub-H19-28-015/sub-H19-28-015_obj-1jk0ah4_icephys.nwb,e5a06ff5-6956-4e40-a7ba-317ba2ca8c1a,81.53
sub-H20-28-023/sub-H20-28-023_obj-llul8t_icephys.nwb,7c5d7f9a-4664-4a33-8280-ac5883638b36,50.88
sub-H19-28-015/sub-H19-28-015_obj-x3o60t_icephys.nwb,d0a1e521-6754-407c-8640-76c1841f7bf7,80.35
sub-H20-28-023/sub-H20-28-023_obj-1ix6tdo_icephys.nwb,02fee793-3392-4157-a042-ac4c3f5025f6,48.14
sub-H18-28-016/sub-H18-28-016_obj-1l4l0lo_icephys.nwb,0c10f518-2b3b-4717-800b-d429ce6434ae,70.94
sub-H18-28-016/sub-H18-28-016_obj-xswdmm_icephys.nwb,ead8313f-be0a-46ee-b366-b81a31432c81,55.59
sub-H20-28-018/sub-H20-28-018_icephys.nwb,8b75a7c0-e7c0-40d8-bdab-17e61210e73c,76.26
sub-H19-28-015/sub-H19-28-015_obj-19sczoc_icephys.nwb,01ff3b34-d81f-4279-953d-29522ccc1314,160.53
sub-H20-28-028/sub-H20-28-028_icephys.nwb,c187e59c-36bc-4d7d-9b4a-67dbbfd72aac,53.75
sub-H19-28-018/sub-H19-28-018_obj-11qqs7l_icephys.nwb,74b0e0d7-935e-4ff7-9973-7d5e8c7047c0,51.37
sub-H19-28-018/sub-H19-28-018_obj-1uetfl7_icephys.nwb,9f59cb88-dfc6-460c-8329-74524625b464,55.69
sub-H19-28-018/sub-H19-28-018_obj-1gyev0i_icephys.nwb,056afcf1-0178-4a29-b3c6-e76c3aedba89,82.27
sub-H20-28-004/sub-H20-28-004_icephys.nwb,84fe523c-7f2f-407f-909b-636c71a48430,55.79
sub-H20-28-031/sub-H20-28-031_obj-1sg4t1h_icephys.nwb,64b64762-3c14-4a19-9293-f455f8e62daf,23.99
sub-H20-28-031/sub-H20-28-031_obj-c7jkoq_icephys.nwb,19e85950-168d-4d06-9190-f96c68842b86,75.49
sub-H20-28-031/sub-H20-28-031_obj-1m35aw3_icephys.nwb,e2f1f24b-553f-4853-bdf8-0598fd485f88,93.93
sub-H20-28-031/sub-H20-28-031_obj-lyvbp5_icephys.nwb,bbe8d833-38df-4200-a23e-c0bc8d698099,48.61
sub-H18-28-013/sub-H18-28-013_obj-i2h56d_icephys.nwb,fda2182d-2f82-4072-bb13-8b867259ab86,49.93
sub-H18-28-013/sub-H18-28-013_obj-1piss2h_icephys.nwb,85052f74-753c-4171-bf21-9742d53360ea,55.69
sub-H18-28-015/sub-H18-28-015_obj-wqd7m6_icephys.nwb,27b21daa-12a9-4a73-aa69-18dddad8d2b3,55.4
sub-H18-28-013/sub-H18-28-013_obj-189zl3t_icephys.nwb,c3046c4e-2c09-48b1-9377-bffbe1a129c5,58.39
sub-H18-28-013/sub-H18-28-013_obj-ephl9m_icephys.nwb,5b7850d9-fceb-44bd-9c0f-dd22fe93c20d,110.63
sub-H18-28-015/sub-H18-28-015_obj-1ojvqk8_icephys.nwb,c919a911-f3e7-4cf3-ba96-499a90ed5996,48.44
sub-H18-28-015/sub-H18-28-015_obj-sj5n50_icephys.nwb,15fd4941-f793-4d5f-bd03-ea2b749005a6,56.3
sub-H18-28-015/sub-H18-28-015_obj-3u86xs_icephys.nwb,cc7ce509-506f-4de5-a6b2-d47293c33129,89.54
sub-H18-28-015/sub-H18-28-015_obj-1s6q6nd_icephys.nwb,d09b6048-7e04-4518-95ad-9fa18b37fab8,54.39
sub-H18-28-011/sub-H18-28-011_icephys.nwb,9f3e7924-3d9a-4499-b827-665b602f871c,96.43
