specimen_id,cell_name,dataset,donor,lab,ephys_status,ephys_dandiset,ephys_dandi_path,ephys_dandi_asset_id,ephys_dandi_download_url,ephys_local_nwb_path,ephys_features_csv_upstream,morphology_swc_url,morphology_bil_source,morphology_local_swc_path,morphology_features_csv_upstream,expression_status,expression_h5ad_path,expression_h5ad_obs_index,expression_raw_source,morphology_svg_repo,ephys_trace_svg_repo,ephys_fi_curve_svg_repo,upstream_metadata_csv
548480353,H16.06.012.11.03.07,L1,H16.06.012,,dandi_mapped,000630,sub-548298531/sub-548298531_ses-548480228_icephys.nwb,9c71d6fc-1fea-47a5-b9a5-e3561730cdfd,https://api.dandiarchive.org/api/assets/9c71d6fc-1fea-47a5-b9a5-e3561730cdfd/download/,,patchseq_human_L1/data/aibs_features_E.csv,https://download.brainimagelibrary.org/d8/33/d833ba8bd931f23f/548480353/548480353_upright.swc,d833_upright,data/morphology/swc/548480353_upright.swc,patchseq_human_L1/data/RawFeatureWide_human+derivatives.csv,in_h5ad_export,data/patchseq/exports/patchseq_l1.h5ad,P1S4_160929_009_A01,,morphology_svgs/548480353_morphology.svg,intraDANDI_explorer-master/data/traces/000630/sub-548298531/sub-548298531_ses-548480228_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000630/sub-548298531/sub-548298531_ses-548480228_icephys.nwb_FI.svg,patchseq_human_L1/data/human_l1_dataset_2023_02_06.csv
569871062,H17.03.002.11.09.08,both,H17.03.002,,dandi_mapped,000630,sub-569800644/sub-569800644_ses-569870997_icephys.nwb,8cb08716-483f-4238-b5e9-a56094b70765,https://api.dandiarchive.org/api/assets/8cb08716-483f-4238-b5e9-a56094b70765/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/group/20230426/swc/569871062/569871062_upright.swc,group_20230426,data/morphology/swc/569871062_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,raw_rdata_only,,,complete_patchseq_data_sets.RData (object: datPatch),morphology_svgs/569871062_morphology.svg,intraDANDI_explorer-master/data/traces/000630/sub-569800644/sub-569800644_ses-569870997_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000630/sub-569800644/sub-569800644_ses-569870997_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
596907611,H17.03.009.11.08.06,L1,H17.03.009,,dandi_mapped,000630,sub-596832620/sub-596832620_ses-596907532_icephys.nwb,514729bb-b4d1-4af6-bd12-33369dd7ba3e,https://api.dandiarchive.org/api/assets/514729bb-b4d1-4af6-bd12-33369dd7ba3e/download/,,patchseq_human_L1/data/aibs_features_E.csv,https://download.brainimagelibrary.org/d8/33/d833ba8bd931f23f/596907611/596907611_upright.swc,d833_upright,data/morphology/swc/596907611_upright.swc,patchseq_human_L1/data/RawFeatureWide_human+derivatives.csv,raw_rdata_only,,,patchseq_human_L1/data/ps_human.RData (object: datPS),morphology_svgs/596907611_morphology.svg,intraDANDI_explorer-master/data/traces/000630/sub-596832620/sub-596832620_ses-596907532_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000630/sub-596832620/sub-596832620_ses-596907532_icephys.nwb_FI.svg,patchseq_human_L1/data/human_l1_dataset_2023_02_06.csv
643397120,H17.26.002.11.09.03,LeeDalley,H17.26.002,,dandi_mapped,000636,sub-643277950/sub-643277950_ses-643397107_icephys.nwb,4d10a23d-4dba-4ba0-9511-c93ea6e4800d,https://api.dandiarchive.org/api/assets/4d10a23d-4dba-4ba0-9511-c93ea6e4800d/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/69/fe/69fe931fee2b2215/643397120/H17.26.002.11.09.03_709331654_m.swc,69fe_dirlist,data/morphology/swc/643397120_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P9S4_171013_403_A01,,morphology_svgs/643397120_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-643277950/sub-643277950_ses-643397107_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-643277950/sub-643277950_ses-643397107_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
650077366,H17.26.003.11.16.04,LeeDalley,H17.26.003,,dandi_mapped,000636,sub-648220984/sub-648220984_ses-650077353_icephys.nwb,7a685f3b-58f7-4497-88a4-32ab1c878fd7,https://api.dandiarchive.org/api/assets/7a685f3b-58f7-4497-88a4-32ab1c878fd7/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/24/1a/241a10cde842c99b/650077366/650077366_transformed.swc,241a_transformed,data/morphology/swc/650077366_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P8S4_171127_354_A01,,morphology_svgs/650077366_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-648220984/sub-648220984_ses-650077353_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-648220984/sub-648220984_ses-650077353_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
653810044,H17.03.016.11.04.02,L1,H17.03.016,,dandi_mapped,000630,sub-653718968/sub-653718968_ses-653810027_icephys.nwb,3bad4641-c6e6-4c47-a18b-4c505fc4eaac,https://api.dandiarchive.org/api/assets/3bad4641-c6e6-4c47-a18b-4c505fc4eaac/download/,,patchseq_human_L1/data/aibs_features_E.csv,https://download.brainimagelibrary.org/24/1a/241a10cde842c99b/653810044/653810044_transformed.swc,241a_transformed,data/morphology/swc/653810044_upright.swc,patchseq_human_L1/data/RawFeatureWide_human+derivatives.csv,in_h5ad_export,data/patchseq/exports/patchseq_l1.h5ad,P2S4_171219_053_A01,,morphology_svgs/653810044_morphology.svg,intraDANDI_explorer-master/data/traces/000630/sub-653718968/sub-653718968_ses-653810027_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000630/sub-653718968/sub-653718968_ses-653810027_icephys.nwb_FI.svg,patchseq_human_L1/data/human_l1_dataset_2023_02_06.csv
656933853,H18.03.002.11.06.04,LeeDalley,H18.03.002,,dandi_mapped,000636,sub-656856430/sub-656856430_ses-656933822_icephys.nwb,fba2209b-c46d-4502-9dbf-bcca93a8653d,https://api.dandiarchive.org/api/assets/fba2209b-c46d-4502-9dbf-bcca93a8653d/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/69/fe/69fe931fee2b2215/656933853/H18.03.002.11.06.04_725472346_m.swc,69fe_dirlist,data/morphology/swc/656933853_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P8S4_180109_360_A01,,morphology_svgs/656933853_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-656856430/sub-656856430_ses-656933822_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-656856430/sub-656856430_ses-656933822_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
665718254,H18.03.003.11.02.03,LeeDalley,H18.03.003,,dandi_mapped,000636,sub-665691251/sub-665691251_ses-665718232_icephys.nwb,1adfd03a-d2aa-4ffb-86b8-fb753e7a5e06,https://api.dandiarchive.org/api/assets/1adfd03a-d2aa-4ffb-86b8-fb753e7a5e06/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/ef/b9/efb9b12ba2fab63d/665718254/665718254_upright.swc,efb9_upright,data/morphology/swc/665718254_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P1S4_180220_003_A01,,morphology_svgs/665718254_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-665691251/sub-665691251_ses-665718232_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-665691251/sub-665691251_ses-665718232_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
685766680,H18.03.008.11.12.01,LeeDalley,H18.03.008,,dandi_mapped,000636,sub-685740095/sub-685740095_ses-685766667_icephys.nwb,d1d39a94-caa2-4d85-b11c-d42c6ef53495,https://api.dandiarchive.org/api/assets/d1d39a94-caa2-4d85-b11c-d42c6ef53495/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/24/1a/241a10cde842c99b/685766680/685766680_transformed.swc,241a_transformed,data/morphology/swc/685766680_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P8S4_180417_359_A01,,morphology_svgs/685766680_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-685740095/sub-685740095_ses-685766667_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-685740095/sub-685740095_ses-685766667_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
685780246,H18.03.008.11.12.04,LeeDalley,H18.03.008,,dandi_mapped,000636,sub-685740095/sub-685740095_ses-685780148_icephys.nwb,288620a6-2911-4638-a677-3ef0d7085b32,https://api.dandiarchive.org/api/assets/288620a6-2911-4638-a677-3ef0d7085b32/download/,,human_patchseq_gaba/data/LeeDalley_ephys_fx.csv,https://download.brainimagelibrary.org/24/1a/241a10cde842c99b/685780246/685780246_transformed.swc,241a_transformed,data/morphology/swc/685780246_upright.swc,human_patchseq_gaba/data/LeeDalley_morpho_features.csv,in_h5ad_export,data/patchseq/exports/patchseq_leedalley.h5ad,P8S4_180417_362_A01,,morphology_svgs/685780246_morphology.svg,intraDANDI_explorer-master/data/traces/000636/sub-685740095/sub-685740095_ses-685780148_icephys.nwb.svg,intraDANDI_explorer-master/data/traces/000636/sub-685740095/sub-685740095_ses-685780148_icephys.nwb_FI.svg,human_patchseq_gaba/data/LeeDalley_manuscript_metadata_v2.csv
